CustomerKey,BirthDate,MaritalStatus,Gender,AnnualIncome,TotalChildren,EducationLevel,Occupation,HomeOwner,Full_Name
29378,2/13/1965,M,M,30000,1,Bachelors,Skilled Manual,N,MR. DOMINIC VANCE
29377,8/27/1965,M,F,30000,1,Bachelors,Skilled Manual,Y,MRS. REBEKAH CARLSON
29376,9/9/1965,S,M,20000,2,High School,Manual,Y,MR. MATTHEW ROBINSON
29375,9/6/1965,M,M,20000,2,High School,Manual,Y,MR. SERGIO MALHOTRA
29374,5/21/1965,M,M,20000,2,High School,Manual,Y,MR. SHANE SAI
29373,7/25/1966,M,M,30000,1,Bachelors,Skilled Manual,Y,MR. BOBBY SUBRAM
29372,10/2/1966,M,F,30000,1,Bachelors,Skilled Manual,Y,MRS. DAISY SANZ
29371,12/14/1966,M,M,20000,2,High School,Manual,Y,MR. MATTHEW WALKER
29370,10/18/1927,S,M,30000,1,Bachelors,Clerical,N,MR. MASON KELLY
29369,9/24/1967,S,M,40000,0,Bachelors,Professional,Y,MR. ARTURO HE
29367,3/13/1967,S,M,40000,0,Bachelors,Professional,N,MR. RANDY YE
29366,7/11/1967,S,M,40000,0,Bachelors,Professional,N,MR. DOMINIC PATEL
29365,1/7/1966,S,F,20000,1,High School,Manual,Y,MRS. CHERYL CARLSON
29364,3/24/1966,M,M,10000,4,Partial High School,Manual,Y,MR. LEE RUBIO
29363,12/25/1967,S,F,20000,1,Partial College,Manual,Y,MRS. CRISTINA JAI
29362,9/26/1967,S,M,20000,1,Partial College,Manual,Y,MR. EMMANUEL CHANDRA
29361,6/3/1967,S,F,20000,1,Partial College,Manual,N,MRS. SHEENA NARA
29360,9/9/1968,S,M,40000,0,Bachelors,Professional,N,MR. BRYANT RODRIGUEZ
29359,11/20/1968,M,M,40000,0,Graduate Degree,Clerical,N,MR. HAROLD FERNANDEZ
29358,8/1/1968,M,F,40000,0,Graduate Degree,Clerical,N,MS. PRISCILLA CHANDE
29357,5/8/1968,S,M,40000,0,Graduate Degree,Clerical,N,MR. RICHARD BROWN
29356,8/2/1968,M,M,40000,0,Graduate Degree,Clerical,Y,MR. CASEY DIAZ
29355,11/3/1968,M,F,40000,0,Graduate Degree,Clerical,Y,MS. VIRGINIA FERNANDEZ
29354,9/11/1965,S,M,60000,0,Graduate Degree,Professional,Y,MR. ISAIAH EDWARDS
29353,8/17/1965,M,M,50000,3,Bachelors,Skilled Manual,Y,MR. ORLANDO GOMEZ
29352,8/11/1965,S,F,50000,3,Bachelors,Skilled Manual,N,MRS. LYDIA GONZALEZ
29351,6/26/1965,S,M,50000,3,Bachelors,Skilled Manual,N,MR. JASON HALL
29350,11/9/1965,S,F,50000,3,Bachelors,Skilled Manual,Y,MRS. JULIA THOMPSON
29349,10/4/1965,S,F,50000,3,Bachelors,Skilled Manual,N,MRS. GABRIELLE BRYANT
29348,7/15/1965,M,M,50000,3,Bachelors,Skilled Manual,Y,MR. MIGUEL BRYANT
29347,8/15/1965,M,M,40000,0,Bachelors,Professional,N,MR. JONATHAN EDWARDS
29346,7/12/1942,S,F,50000,2,Graduate Degree,Management,N,MRS. BRIANA ORTEGA
29345,2/26/1942,S,NA,40000,2,Bachelors,Management,N, RANDALL DIAZ
29344,11/10/1942,S,M,40000,2,Bachelors,Management,Y,MR. GILBERT YE
29343,4/14/1940,M,M,40000,2,Bachelors,Management,N,MR. GLENN WU
29342,8/20/1940,M,F,30000,2,Partial College,Clerical,N,MRS. CASSIE ANAND
29341,7/2/1979,S,M,30000,0,Partial High School,Clerical,N,MR. LUCAS STEWART
29340,10/5/1979,S,F,30000,0,Partial High School,Clerical,N,MS. RACHEL COX
29339,10/12/1979,S,M,30000,0,Partial High School,Clerical,N,MR. BRANDON LI
29338,8/21/1938,M,F,40000,2,Bachelors,Management,Y,MRS. BRIDGET SHAN
29337,2/18/1938,S,M,30000,2,Partial College,Clerical,Y,MR. HECTOR GOMEZ
29336,7/17/1978,S,M,40000,0,High School,Skilled Manual,N,MR. NATHANIEL BAILEY
29335,3/10/1978,S,M,30000,0,Partial High School,Clerical,N,MR. JUSTIN BRYANT
29334,5/12/1979,S,F,30000,0,Partial High School,Clerical,N,MS. PAIGE HOWARD
29333,9/10/1937,S,F,40000,2,Bachelors,Management,N,MRS. ABBY MARTINEZ
29332,8/11/1937,S,F,30000,2,Partial College,Clerical,N,MRS. SHAWNA GOEL
29331,3/15/1937,M,M,30000,2,Partial College,Clerical,N,MR. MELVIN YUAN
29330,7/12/1980,M,F,40000,0,High School,Skilled Manual,Y,MS. ALEXA WARD
29329,2/18/1979,S,M,30000,0,High School,Skilled Manual,Y,MR. LUCAS CAMPBELL
29328,10/13/1979,M,M,30000,0,High School,Skilled Manual,Y,MR. JASON ALEXANDER
29327,8/12/1980,M,M,30000,0,High School,Skilled Manual,N,MR. ALLEN CHANDRA
29326,2/17/1980,S,F,30000,0,High School,Skilled Manual,N,MS. VICTORIA DIAZ
29325,8/18/1976,M,M,40000,0,High School,Skilled Manual,N,MR. CAMERON THOMAS
29324,4/25/1976,M,F,40000,0,High School,Skilled Manual,Y,MS. KAYLA WILLIAMS
29323,3/15/1976,S,F,40000,0,High School,Skilled Manual,Y,MS. ANDREA COOPER
29322,5/24/1976,S,M,30000,0,High School,Skilled Manual,Y,MR. GAVIN ALEXANDER
29321,9/2/1960,S,M,70000,5,Partial College,Skilled Manual,Y,MR. ROGER ZHENG
29320,2/14/1960,M,M,70000,5,Partial College,Skilled Manual,N,MR. WESLEY HUANG
29319,7/14/1957,S,M,70000,1,Partial College,Skilled Manual,N,MR. ALVIN PAL
29318,11/18/1958,M,M,100000,4,Bachelors,Management,Y,MR. EDGAR PEREZ
29317,7/3/1958,S,M,90000,2,Bachelors,Professional,N,MR. JAMES HILL
29316,11/22/1958,S,M,90000,2,Bachelors,Professional,N,MR. MAX ROMERO
29315,10/11/1958,M,F,90000,2,Bachelors,Professional,Y,MRS. JILL GOMEZ
29314,11/6/1961,M,F,60000,1,Partial College,Skilled Manual,Y,MRS. MEREDITH MALHOTRA
29313,10/8/1961,M,M,60000,1,Partial College,Skilled Manual,Y,MR. JÉSUS SANZ
29312,4/18/1962,S,F,70000,5,Partial College,Skilled Manual,Y,MRS. COLLEEN SHE
29311,5/10/1962,S,F,60000,1,Partial College,Skilled Manual,Y,MRS. MARIE CARLSON
29310,10/23/1963,S,M,70000,0,Bachelors,Professional,N,MR. ARMANDO GUTIERREZ
29309,4/1/1963,S,M,70000,0,Bachelors,Professional,Y,MR. RODNEY NAVARRO
29308,7/13/1963,S,M,70000,0,Bachelors,Professional,N,MR. PHILLIP VANCE
29307,3/5/1963,S,M,70000,0,Bachelors,Professional,N,MR. ROSS MALHOTRA
29306,8/16/1963,S,M,70000,0,Bachelors,Professional,N,MR. RAFAEL ANAND
29305,5/13/1959,S,F,100000,5,Bachelors,Professional,N,MRS. BETH ALVAREZ
29304,9/2/1959,M,M,100000,5,Bachelors,Professional,Y,MR. WILLIE WANG
29303,7/22/1964,S,M,70000,0,Bachelors,Professional,Y,MR. ARTURO PAL
29302,1/19/1964,S,F,70000,0,Bachelors,Professional,N,MS. CAROLYN FERNANDEZ
29301,11/7/1965,M,M,80000,5,Bachelors,Professional,Y,MR. ALVIN NATH
29300,10/27/1965,S,M,70000,0,Bachelors,Professional,N,MR. JOE MADAN
29299,10/18/1960,M,F,60000,1,Partial College,Skilled Manual,Y,MRS. BETHANY KUMAR
29298,7/1/1960,S,F,60000,1,Partial College,Skilled Manual,Y,MRS. DIANA MORENO
29297,10/22/1960,S,F,60000,1,Partial College,Skilled Manual,N,MRS. NINA PAL
29296,11/20/1966,S,F,110000,0,Graduate Degree,Management,N,MS. NICHOLE LUO
29295,2/25/1966,S,M,110000,0,Graduate Degree,Management,Y,MR. GLENN LI
29294,6/17/1961,S,F,60000,1,Partial College,Skilled Manual,N,MRS. ALLISON COOPER
29293,6/2/1967,S,M,90000,3,Bachelors,Professional,Y,MR. NUAN WU
29292,1/7/1967,S,F,90000,2,Bachelors,Professional,N,MRS. DIANA DOMINGUEZ
29291,10/23/1963,M,F,60000,3,Bachelors,Professional,N,MRS. NANCY SUBRAM
29290,10/15/1963,S,M,60000,5,Bachelors,Professional,N,MR. TROY GARCIA
29289,8/27/1964,S,M,70000,0,Bachelors,Professional,Y,MR. DEVON RAJE
29288,10/18/1964,M,M,60000,4,Bachelors,Professional,N,MR. GLENN LIN
29287,2/25/1964,M,F,60000,4,Bachelors,Professional,Y,MRS. SUZANNE LIN
29286,5/20/1964,S,M,60000,3,Bachelors,Professional,N,MR. RODNEY ALVAREZ
29285,1/14/1949,S,M,40000,4,High School,Professional,N,MR. THOMAS ADAMS
29284,12/4/1949,S,F,30000,4,High School,Professional,N,MRS. RILEY HUGHES
29283,7/10/1949,M,M,30000,4,High School,Professional,N,MR. JEFF SMITH
29282,9/13/1949,M,F,30000,4,High School,Professional,Y,MRS. TAYLOR JACKSON
29281,2/26/1950,S,M,40000,4,Partial College,Professional,N,MR. CHARLES ANDERSON
29280,2/9/1951,S,F,40000,3,Partial College,Professional,N,MRS. ERIN COOK
29279,7/21/1953,S,F,70000,3,Graduate Degree,Management,Y,MRS. HAILEY TURNER
29278,8/18/1953,S,F,70000,3,Graduate Degree,Management,Y,MRS. JANET SCOTT
29277,4/27/1953,S,F,70000,3,Graduate Degree,Management,N,MRS. SAMANTHA MOHAMED
29276,8/22/1953,M,F,70000,3,Graduate Degree,Management,Y,MRS. SYDNEY FLORES
29275,5/15/1953,S,F,70000,3,Graduate Degree,Management,N,MRS. TAYLOR THOMAS
29274,7/22/1960,S,M,120000,5,High School,Professional,Y,MR. MIGUEL GREEN
29273,2/12/1960,M,M,100000,0,Partial College,Professional,Y,MR. TIMOTHY LOPEZ
29272,1/14/1960,M,M,100000,0,Partial College,Professional,Y,MR. ALEX KING
29271,6/25/1960,S,M,100000,0,Partial College,Professional,N,MR. ANTONIO HENDERSON
29270,1/12/1960,M,M,100000,0,Partial College,Professional,Y,MR. CARLOS ALLEN
29269,5/14/1960,M,F,90000,4,High School,Professional,Y,MRS. VANESSA GRIFFIN
29268,5/22/1960,M,M,90000,4,High School,Professional,Y,MR. MARCUS THOMAS
29267,10/19/1960,M,F,80000,5,Partial College,Professional,Y,MRS. JORDAN PEREZ
29266,7/5/1960,S,M,80000,5,Partial College,Professional,N,MR. LUCAS ANDERSON
29265,11/8/1936,S,F,90000,4,Bachelors,Management,N,MRS. MARISSA DIAZ
29264,1/27/1936,M,F,90000,4,Bachelors,Management,N,MRS. RILEY BROOKS
29263,5/24/1936,M,M,70000,4,Graduate Degree,Management,N,MR. NATHAN LI
29262,2/22/1936,S,F,50000,2,Graduate Degree,Management,N,MRS. CASSIE RAJE
29261,3/15/1935,S,M,130000,2,Graduate Degree,Management,N,MR. ROBERT TURNER
29260,5/27/1935,S,M,70000,4,Graduate Degree,Management,N,MR. RICKY CARLSON
29259,9/10/1954,S,M,70000,2,Partial High School,Skilled Manual,Y,MR. JONATHAN DAVIS
29258,9/22/1955,M,F,90000,2,High School,Professional,Y,MRS. MAKAYLA JAMES
29257,10/26/1955,S,M,90000,2,High School,Professional,Y,MR. JEREMIAH RUSSELL
29256,11/7/1955,M,M,90000,2,High School,Professional,N,MR. NOAH HARRIS
29255,4/11/1955,S,M,80000,3,Partial College,Professional,N,MR. KYLE WASHINGTON
29254,10/15/1955,M,F,60000,2,High School,Professional,Y,MRS. ERIN SANCHEZ
29253,5/25/1961,S,F,130000,3,Bachelors,Management,N,MRS. SAVANNAH GREEN
29252,9/8/1961,M,M,130000,1,Bachelors,Management,Y,MR. ALEX PARKER
29251,3/4/1961,M,F,110000,1,Bachelors,Management,Y,MRS. MANDY ZHOU
29250,4/16/1961,S,M,100000,3,Partial College,Professional,N,MR. ANTHONY WILLIAMS
29249,6/19/1961,M,M,90000,4,High School,Professional,Y,MR. AUSTIN LONG
29248,6/19/1961,S,M,90000,4,High School,Professional,Y,MR. JONATHAN MARTIN
29247,6/24/1961,S,F,70000,5,Partial College,Professional,Y,MRS. SARA GRAY
29246,6/4/1962,S,M,130000,1,Bachelors,Management,N,MR. THOMAS WILLIAMS
29245,12/16/1962,M,M,130000,1,Bachelors,Management,Y,MR. ANGEL ROBERTS
29244,8/22/1962,S,M,110000,1,Bachelors,Management,Y,MR. ERIC ROSS
29243,12/20/1962,S,M,110000,1,Bachelors,Management,Y,MR. JARED TORRES
29241,8/28/1962,S,F,90000,5,Partial College,Professional,N,MRS. SOPHIA EVANS
29240,7/2/1962,S,F,80000,5,Partial College,Professional,N,MRS. MADELINE ALLEN
29239,6/14/1963,S,F,150000,4,Partial College,Professional,N,MRS. SAMANTHA MILLER
29238,6/15/1963,S,M,150000,4,Partial College,Professional,N,MR. XAVIER POWELL
29237,8/17/1963,S,F,120000,4,Partial College,Professional,Y,MRS. JENNIFER JENKINS
29236,4/4/1963,S,M,120000,4,Partial College,Professional,Y,MR. ERIC YOUNG
29235,12/23/1963,S,M,120000,4,Partial College,Professional,N,MR. ISAIAH ROGERS
29234,10/8/1963,M,M,110000,5,Bachelors,Management,Y,MR. KEVIN LOPEZ
29233,8/25/1963,S,F,90000,0,Partial College,Professional,Y,MS. CAITLIN SANDERS
29232,3/11/1963,S,F,90000,0,Partial College,Professional,Y,MS. SAMANTHA SIMMONS
29231,7/13/1963,S,F,80000,4,Partial College,Professional,N,MRS. BRITTANY SIMMONS
29230,8/5/1963,S,F,80000,4,Partial College,Professional,N,MRS. KAITLYN DIAZ
29229,10/25/1963,S,M,80000,4,Partial College,Professional,N,MR. LANCE MORENO
29228,6/24/1934,S,F,130000,1,Graduate Degree,Management,N,MRS. COURTNEY CAMPBELL
29227,1/5/1934,S,M,70000,4,Graduate Degree,Management,Y,MR. LEVI PATEL
29226,4/18/1934,S,F,60000,2,Graduate Degree,Management,Y,MRS. KATHERINE LEE
29225,4/9/1956,S,M,80000,3,Partial College,Professional,N,MR. MATTHEW LEE
29224,7/8/1956,M,F,70000,4,Partial College,Professional,Y,MRS. KAYLEE BAILEY
29223,1/15/1956,S,M,70000,4,Partial College,Professional,N,MR. ANGEL PHILLIPS
29222,5/4/1964,M,M,160000,0,Bachelors,Management,Y,MR. EVAN PEREZ
29221,6/9/1964,S,F,150000,1,Bachelors,Management,N,MRS. KELLY BENNETT
29220,3/23/1964,S,F,130000,2,Graduate Degree,Management,N,MRS. MELINDA RAMOS
29219,6/17/1964,S,M,130000,2,Graduate Degree,Management,N,MR. DARREN ARUN
29218,4/1/1964,S,M,100000,5,Partial College,Professional,Y,MR. BRANDON MOORE
29217,11/23/1964,M,F,100000,5,Partial College,Professional,Y,MRS. ALEXIS WILSON
29216,5/19/1964,S,M,90000,5,Partial College,Professional,N,MR. ANTONIO WOOD
29215,3/13/1964,S,F,90000,5,Partial College,Professional,N,MRS. ABIGAIL BARNES
29214,6/25/1964,S,M,80000,4,Partial College,Professional,Y,MR. JOSEPH MARTINEZ
29213,10/6/1964,S,F,80000,4,Bachelors,Management,N,MRS. JODI LUO
29212,12/15/1965,S,F,100000,4,Bachelors,Management,Y,MRS. JOCELYN GONZALES
29211,6/14/1965,M,F,100000,4,Bachelors,Management,Y,MRS. STEPHANIE ROSS
29210,8/7/1965,M,M,100000,3,Bachelors,Management,Y,MR. DEVIN PETERSON
29209,9/5/1965,M,M,90000,4,Partial College,Professional,Y,MR. JORDAN EVANS
29208,11/12/1956,M,F,60000,2,High School,Professional,N,MRS. AMBER LOPEZ
29207,1/27/1956,M,F,60000,2,High School,Professional,Y,MRS. KATELYN JAMES
29206,8/23/1956,M,M,80000,2,Partial High School,Skilled Manual,Y,MR. NICHOLAS ANDERSON
29205,11/16/1956,M,M,80000,2,Partial High School,Skilled Manual,Y,MR. DAVID LONG
29204,11/26/1957,S,M,90000,2,Partial College,Professional,N,MR. AUSTIN SHARMA
29203,4/28/1957,M,F,70000,3,Partial College,Professional,Y,MRS. LAURA HU
29202,11/18/1957,M,M,70000,3,Partial College,Professional,Y,MR. JERRY KUMAR
29201,5/18/1957,S,F,70000,3,Partial College,Professional,N,MRS. KARA JAI
29200,2/25/1957,M,M,60000,2,High School,Professional,Y,MR. JACKSON COLLINS
29199,10/7/1953,S,M,60000,3,Partial High School,Skilled Manual,N,MR. JAMES WILSON
29198,7/6/1953,M,F,60000,3,Partial High School,Skilled Manual,Y,MRS. FAITH RAMIREZ
29197,7/4/1953,S,F,60000,3,Partial High School,Skilled Manual,N,MRS. MORGAN BROWN
29196,1/21/1966,M,M,90000,2,Bachelors,Professional,Y,MR. DARREN SERRANO
29195,10/10/1966,M,F,90000,0,Bachelors,Professional,N,MS. BARBARA XU
29194,10/25/1966,M,F,90000,0,Bachelors,Professional,Y,MS. GRACE POWELL
29193,9/6/1966,S,M,80000,5,Graduate Degree,Management,Y,MR. ALEJANDRO LIANG
29192,10/27/1967,M,F,70000,5,Bachelors,Professional,Y,MRS. JESSICA RAMIREZ
29191,11/19/1969,S,F,130000,1,Graduate Degree,Management,N,MRS. CHELSEA WEBER
29190,8/11/1969,S,F,120000,1,Graduate Degree,Management,N,MRS. KAITLIN SURI
29189,6/23/1967,S,M,70000,5,Bachelors,Professional,N,MR. ROY DOMINGUEZ
29188,9/19/1968,S,M,70000,5,Bachelors,Professional,Y,MR. COLIN KUMAR
29187,4/12/1968,M,M,60000,2,Bachelors,Professional,Y,MR. JEROME RAMOS
29186,6/19/1968,S,M,60000,2,Bachelors,Professional,N,MR. MATHEW SERRANO
29185,9/21/1968,M,M,60000,2,Bachelors,Professional,Y,MR. WARREN LI
29184,4/12/1970,M,F,80000,4,Graduate Degree,Management,Y,MRS. KRISTI MADAN
29183,11/24/1970,M,F,80000,4,Graduate Degree,Management,Y,MRS. GABRIELLE SIMMONS
29182,12/26/1968,M,M,60000,2,Bachelors,Professional,Y,MR. WESLEY XU
29181,5/13/1968,S,F,60000,2,Bachelors,Professional,N,MRS. MELINDA SUAREZ
29180,4/5/1969,M,M,100000,1,Graduate Degree,Management,Y,MR. ERIK GOMEZ
29179,6/10/1969,M,F,90000,1,Graduate Degree,Management,Y,MRS. PATRICIA MEHTA
29178,9/1/1969,M,F,80000,4,Graduate Degree,Management,Y,MRS. CANDICE SHE
29177,11/6/1929,M,M,70000,3,Graduate Degree,Management,Y,MR. FRANK MARTIN
